Date,DowJones,NASDAQ,SP500
2023-11-20,35151.0390625,14284.5302734375,4547.3798828125
2023-11-21,35088.2890625,14199.98046875,4538.18994140625
2023-11-22,35273.03125,14265.8603515625,4556.6201171875
2023-11-24,35390.1484375,14250.849609375,4559.33984375
2023-11-27,35333.46875,14241.01953125,4550.43017578125
2023-11-28,35416.98046875,14281.759765625,4554.89013671875
2023-11-29,35430.421875,14258.490234375,4550.580078125
2023-11-30,35950.890625,14226.2197265625,4567.7998046875
2023-12-01,36245.5,14305.0302734375,4594.6298828125
2023-12-04,36204.44140625,14185.490234375,4569.77978515625
2023-12-05,36124.55859375,14229.91015625,4567.18017578125
2023-12-06,36054.4296875,14146.7099609375,4549.33984375
2023-12-07,36117.37890625,14339.990234375,4585.58984375
2023-12-08,36247.87109375,14403.9697265625,4604.3701171875
2023-12-11,36404.9296875,14432.490234375,4622.43994140625
2023-12-12,36577.94140625,14533.400390625,4643.7001953125
2023-12-13,37090.23828125,14733.9599609375,4707.08984375
2023-12-14,37248.3515625,14761.5595703125,4719.5498046875
2023-12-15,37305.16015625,14813.919921875,4719.18994140625
2023-12-18,37306.01953125,14904.8095703125,4740.56005859375
2023-12-19,37557.921875,15003.2197265625,4768.3701171875
2023-12-20,37082.0,14777.9404296875,4698.35009765625
2023-12-21,37404.3515625,14963.8701171875,4746.75
2023-12-22,37385.96875,14992.9697265625,4754.6298828125
2023-12-26,37545.328125,15074.5703125,4774.75
2023-12-27,37656.51953125,15099.1796875,4781.580078125
2023-12-28,37710.1015625,15095.1396484375,4783.35009765625
2023-12-29,37689.5390625,15011.349609375,4769.830078125
2024-01-02,37715.0390625,14765.9404296875,4742.830078125
2024-01-03,37430.19140625,14592.2099609375,4704.81005859375
2024-01-04,37440.33984375,14510.2998046875,4688.68017578125
2024-01-05,37466.109375,14524.0703125,4697.240234375
2024-01-08,37683.01171875,14843.76953125,4763.5400390625
2024-01-09,37525.16015625,14857.7099609375,4756.5
2024-01-10,37695.73046875,14969.650390625,4783.4501953125
2024-01-11,37711.01953125,14970.1904296875,4780.240234375
2024-01-12,37592.98046875,14972.759765625,4783.830078125
2024-01-16,37361.12109375,14944.349609375,4765.97998046875
2024-01-17,37266.671875,14855.6201171875,4739.2099609375
2024-01-18,37468.609375,15055.650390625,4780.93994140625
2024-01-19,37863.80078125,15310.9697265625,4839.81005859375
2024-01-22,38001.80859375,15360.2900390625,4850.43017578125
2024-01-23,37905.44921875,15425.9404296875,4864.60009765625
